3 2 1 :1026246231775961090; " ""@pridexiwt segundo o trump o aquecimento global não existe, acho que você está ficando louca"""
5 3 2 :1032387032662691841; " ""professor ricardo felicio, candidato a deputado federal psl por são paulo ! o primeiro a questionar a farsa do aquecimento global antropogênico causado pelo homem ! esqueçam os ""tiriricas"" ! vamos qualificar a câmara federal !"""
5 1 4 :1033141975854272514; " ""@zehdeabreu pense bem. o lula vai resolver tudo. desemprego, dívida interna, reforma tributária e política, aquecimento global, extinção de animais ameaçados, tensão eua-china, refugiados na europa, preço do petróleo e até a crise na venezuela. ele é o cara! você não acredita?"""
5 3 2 :1023744177090310145; " ""qual sua opinião sobre o aquecimento global — sou contra gargalhada"""
5 1 2 :1030559790408376321; " ""@be4trizzz aquecimento global: não estarei vivo, então ñ me afeta autismo: já sou, então ñ me afeta homem: já sou, então ñ me afeta astrologia: perguntam meu signo e querem me subjetivar com base em arquétipos pré-definidos, logo me afeta a morte da astrologia é prioridade no meu governo"""
5 1 3 :1031507821341417472; " ""tem umas pessoas que deixa o ar tão pesado, tão poluído, que quando se afasta, parece até que parou o aquecimento global"""
5 1 3 :1025715313009217537; " ""aquecimento global ou apenas o projeto haarp?"""
5 2 1 :1030189030166720512; " ""@andrerodpt o andré acha que a ciência médica e apenas a que se ensina oficialmente se calhar acredita no aquecimento global e na explicação oficial do 11 de setembroeheheh"""
5 2 3 :1023910560587501568; " ""porque faz calor a noite se não tem sol — por causa do aquecimento global kkkkkkk"""
5 1 3 :1024435677369393155; " ""otemponãopara oh mentira que esse iceberg não derreteu antes com o aquecimento global kkkkkk????"""
5 1 3 :1031603752510398466; " ""@pirulla25 @youtube olha que você ficou em eexemplos das ciências naturais como homeopatia e negação do aquecimento global. mas se leva a ignorância também aos fatos históricos e políticos temos os bolsonaros da vida."""
5 2 4 :1033044516784271360; " ""vou começar a colocar a culpa dos meus problemas no aquecimento global artificial"""
2 3 5 :1031242660428828673; " ""@estadao mudança climática é teoria da conspiração, essa gente nega a ciência."""
5 3 4 :1028842712433414146; " ""eu falei pro meu pai que acreditava que aquecimento global não existia, rainha elizabeth matou princesa diana e que o homem não foi a lua e ele disse que daqui a pouco eu acreditava em ursal"""
5 1 2 :1026286195616178179; " ""@alvesvitoriaaa @giofeitoza ahhh po kkkkkkk tem que ser um tema exato crise hídrica , aquecimento global etc essas paradas ai não consigo viajar não"""
5 1 2 :1028300150282899456; " ""@anavitorialodi aquecimento global olha a bosta"""
5 2 4 :1033110321995624448; " ""@congemfoco então é tudo que acharam contra ele? o cara não pode soltar um peido que acusam de promover o efeito estufa. bolsonaro17"""
5 2 1 :1024751377199849476; " ""1944 de certeza que a culpa foi do aquecimento global e principalmente do trump e um bocadinho do passos coelho."""
1 5 2 :1025159389072838656; " ""@uolnoticias ''aquecimento global é falso'' como dizia alguns conspiradores."""
5 1 2 :1032031324637483008; " ""não existe aquecimento global, no sentido que as pessoas imaginam claro e sobre os dinossauros gente, quando fiz paleonto vocês nem imaginam cada pulo que levava de cada coisa totalmente errada que eu pensava que nunca poderia imaginar"""
5 2 3 :1026565184649879553; " ""cadê o aquecimento global essas horas?"""
5 1 4 :1026812266900058113; " ""jesus cristo era refugiado seleção da frança era feita de imigrantes em barcelona “o povo” quer a separação, mas só 40% da população foi votar, porque 60% são contra o homem causa do “aquecimento global” fazer arminha com a mão é apologia à violência cadê o meteoro!?"""
5 1 4 :1024021412833579008; " ""*o aquecimento global riu se *"""
5 2 1 :1026296158803714048; " ""já que deus criou a terra poderia afastar ela um pouquinho mais do sol porque o calor ta insuportável, com isso já acabaria com dois problemas:calor e gente retardada enchendo o saco com aquecimento global"""
5 3 1 :1026951012911927298; " ""@hbjornalista @jornaloglobo você é uma menina. eu vou morrer antes de ver o país prestar pra qualquer coisa. minha esperança é o aquecimento global. vou na primeira leva gargalhada moderada"""
5 4 1 :1034046201254080512; " ""saudades aquecimento global"""
5 1 2 :1024435475849928704; " ""?? esta matéria, além de uma aula de ciências, é um álibi pros anti aquecimento global ! ? terçadetremurasdv"""
5 4 1 :1017059709961080832; " ""kct de agulha, ô friaca! bem que o tal aquecimento global podia começar logo"""
5 1 3 :1021367602491412480; " ""10°c em manhuaçu hoje pela manhã. este aquecimento global um dia me congela."""
5 2 4 :1016770918797004800; " ""ta mt frio cade o aquecimento global"""
5 1 3 :1015750548207915008; " ""cientistas afirmam que após anos estudando a liberação da maconha na holanda e em outros países, o efeito principal é o aquecimento global, as calotas polares já sentem e há o derretimento de gelo, além dos cérebros bugando.??????"""
5 1 3 :1024437415346417666; " ""pelo visto não existe aquecimento global nessa novela otemponãopara"""
5 2 4 :1022634694209351681; " ""@adrianojreiss @albertoustra hahahahah e o aquecimento global existe ?"""
5 1 4 :1015590468091088896; " ""ahahaha! pronto! acharam o motivo do aquecimento global"""
3 2 4 :1016064438619734016; " ""@exame mais olha o tipo da materia kkkkkkkkkk tem ri!! se for assim na antiga quando nao existia eletricidade, era tudo no fogo, já existia aquecimento global entao!! kkkkk?"""
5 4 1 :1016349807223410688; " ""@joelalexandrem @betocesar194 até o churrasco.sabe aquele churrasco que causa o aquecimento global.ele mesmo. tudo planejado."""
5 3 1 :1021544642339323904; " ""aborta os desodorante aerosol ou esse aquecimento global não vai me deixar usar minhas blusinhas de inverno. prioridades: primeiro blusinhas novas de frio, depois suvaco cheirozinho."""
5 1 2 :1021678265386369025; " ""o aquecimento global é uma alteração climática, chover granizo num local quente não me parece ser aquecimento global mas sim também uma alteração climática."""
5 2 4 :1017072985730142208; " ""cadê a p* do aquecimento global que os cientistas globalistas me prometeram?"""
5 2 3 :1016065046449917959; " ""@janapbianchi @aluizcosta conheço físico que acha que aquecimento global é conspiração americana."""
5 2 4 :1017238738668343296; " ""cadê o tal do aquecimento global gente"""
5 1 3 :1018253256890429441; " ""a primeira vítima do aquecimento global foi o quadro dança no gelo do faustão"""
5 2 1 :1015989004355940352; " ""@iruy_c @_fiavio la no churras de domingo que segundo a matéria do jornal esta contribuindo para o aquecimento global hahahahah bota pica na mesa e resolve a bagunça. moro meu heroi"""
5 1 3 :1015329880907698178; " ""@gabrielgrellet ué mas não é você que diz que aquecimento global não existe????"""
3 2 1 :1015626088138117122; " ""pleno julho, forte do inverno um calorão dos inferno e eu bem pleno sem camisa aquecimento global será?"""
5 1 4 :1015606664664403968; " ""@alex_borges está loco tchê! imaginas então o tal efeito estufa que devia existir no tempo dos dinossauros, com tudo aquele bicharedo peidando"""
5 1 4 :1015746500004077568; " ""foda-se o aquecimento global, nois que é carne na brasa e na mesa."""
5 1 3 :1015740487402184705; " ""@boscardin hummm delícia, cuidado c/ aquecimento global ???"""
2 5 4 :1015662810024554500; " ""quanto tempo mais demorará até que a @un comece a regular os peidos de cada cidadão contra o ""aquecimento global""?"""
5 2 4 :1018547044561178624; " ""@sonofviriathus @cobainsbaee então nos séculos mais quentes não há aquecimento global. certo?"""
5 2 1 :1017096457453817856; " ""@renataschozen a pergunta nesse momento é onde está o aquecimento global ??"""
5 2 4 :1018540304478203904; " ""@cobainsbaee está a chover. culpas o aquecimento global. é preciso ser-se muito estúpido."""
5 1 3 :1022590368137863169; " """"quer solucionar o aquecimento global bota uma rolha no cu da vaca"" um jornalista da espn me disse isso em um encontro com es — ele foi genial, mas eu sugeriria algo mais hardcore do tipo para de fazer tanto pasto, porra"""
3 1 2 :1016707883512328194; " ""@gazetadopovo @mundo_gazeta solução para o aquecimento global ninguém desmatar e poluir a não, de acordo com o @realdonaldtrump aquecimento global não existe."""
5 2 1 :1016716089676500992; " ""eu: kkkk esse inverno não está com nada nem eu senti frio e olha que sou friorenta pacas aquecimento global etc inverno: a eu:"""
5 4 1 :1015063925568819200; " ""pergunta sobre aquecimento global na prova, aí eu e ketlen ""por conta do aquecimento global as pessoas vão morrer queimadas"" kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk, crlh mané"""
5 2 1 :1015710331216285697; " ""@jqtei que aquecimento global antártida regista a temperatura negativa recorde!"""
5 2 1 :1015956523405795328; " ""@exame beleza, aquecimento global continuará. já estou assando minha picanha."""
5 3 4 :1022928642987491330; " ""as pessoa são meio burra com esse negocio de aquecimento global né? era só todo mundo ligar os ar condicionado das suas casa e empresa e deixar as janela aberta que esfriava tudo de novo."""
5 2 1 :1024115783943827457; " ""enquete séria aqui: vocês acham que aquecimento global existe mesmo?"""
5 3 1 :1017505012455542784; " ""@ho0dlumx @quebrandootabu papel da escola é formar pessoas para a vida. pensamento crítico é coisa de paulofreirismo marxista, digníssima. a vida não pede que você filosofe acerca do aquecimento global mas que saiba construir um abrigo para sua família. escola deve educar para a vida, ponto."""
5 1 2 :1014876135702847489; " ""@marcos__dantas @clau_praxedes claro que está obsoleto. não só nas técnicas de perfuração, na geologia e na ignorância dos problemas do aquecimento global, como no contexto político e econômico. o ideal de lobato era seguir ao pé da letra o modelo concorrencial dos eua"""
5 4 1 :1024435659375882240; " ""ótima passagem do tempo, deveriam ter falado do efeito estufa pra explicar esse bloco de gelo aí hahahhaha otemponãopara"""
5 1 2 :1013511683925528578; " ""@jellyuju esse comeback veio pra acabar com o aquecimento global"""
5 3 1 :1014570688127135751; " ""tadinho do girinos eles estão morrendo por causa de um fungo chamado quitridiomiceto que por causa do aquecimento global causa uma micose neles e basicamente eles morrem asfixiados ou porque não conseguem comer"""
5 1 2 :1019416129217925120; " ""o ""enganamento"" global uma das mentiras mais vezes repetidas pelos obamas da vida, é que alguém neste mundo ""nega o aquecimento global"". argumento espantalho, tentando-nos colar a imagem de ""maluquinhos"" como"""
1 3 2 :1022822953027887104; " ""não temos aquecimento global, mas não temos explicação para tanto calor, vulcões em erupção porque o centro da terra está fervendo e o degelo polar. ok ?????"""
5 1 2 :1016631603731271680; " ""@correio graças ao ""aquecimento global""."""
5 3 1 :1018460624203010049; " ""“aquecimento global¿ mas está a chover e nem está calor.”"""
5 3 1 :1018170508192485376; " ""@kup7s tirando o tópico do aquecimento global, que prova que a terra é plana, porque seria impossível derreter o gelo que está na sombra"""
5 1 2 :1021164178621550593; " ""“aquecimento global é essa quentura essa quentura geral e por isso quanto mais frescura mais frescura mais a terra volta ao normal”"""
5 1 2 :1015713818759098369; " ""@brina_gugli pela mensagem aí parece que o churrasco que combate o aquecimento global, então é benéfico. toca churrasco todo dia!!!"""
5 1 2 :1021367748524478465; " ""@jairbolsonaro exato. investir mais em ciência, educação e em *formas de diminuir o progresso do aquecimento global*."""
5 3 1 :1013700417522487296; " ""e o trump ainda diz que nao há aquecimento globaleste tempo instável é super normal e mais normal ainda é estarmos com um clima de país tropical quando não o somos"""
5 1 4 :1016453166295023619; " ""você sabia que num período de 100 anos, uma molécula de água passa 98 anos no oceano, 20 meses em forma de gelo, 02 semanas em la — não sabia, por isso devemos incentivar o aquecimento global, pra ela passar mais tempo na atmosfe"""
5 2 1 :1018296353766739968; " ""@legally_maga @narixinho @doc_obi eu concordo plenamente. estudei gestão ambiental me formei nessa droga e vivia discutindo contra o aquecimento global e a esquerda que queria colocar pra competir coisas tão diferentes como: agricultura de exportação e agricultura orgânica."""
5 1 2 :1015615185598459905; " ""@exame foda-se o aquecimento global! churrascada do domingão não pode faltar, caralho!"""
5 1 2 :1015738230665367552; " ""mais um exemplo: tempo atrás comprei um robô aspirador de r$400. um amigo falou: mas e a pegada de carbono só pra tirar a sujeira do chão? não é só varrer? eu: vem varrer pra mim então em vez de colocar que eu amenizar a minha jornada tripla que está causando a mudança climática."""
3 5 1 :1022137099464654853; " ""pra namorar comigo tem que chegar até o jogo de gee e impedir o aquecimento global de uma festa vip aqui em curitiba para que esse acordo possa entrar em vigor e dar os respectivos resultados"""
1 2 3 :1020990864779358208; " ""será que com a suécia em chamas ainda há pessoal que diz que o aquecimento global é hoax?"""
5 1 2 :1015661834744094721; " ""hoje de noite vou fazer um churrasco pra ajudar no aquecimento global postarei fotos"""
5 1 2 :1020702354390364160; " ""vão dizer que é culpa do aquecimento global ®."""
3 4 2 :1023241634488766464; " ""terra plana vacina faz mal não existe aquecimento global foi golpe não existem provas contra lula"""
5 2 4 :1015598762390155264; " ""você tem que escolher: ou se alimenta ou acredita em aquecimento global."""
5 2 1 :1016123240157204485; " ""a sinopse do filme: o aquecimento global derreteu as chalotas glaciais, deixando praticamente o planeta inteiro debaixo d'água. tubarões agora dominam a terra, liderados por um macho alpha mutante. . . . meu cérebro vai explodir"""
5 4 2 :1020005706530000896; " ""@anamariabraga o efeito estufa e uma realidade rsrsrsrsrsrsr"""
4 1 2 :1015606211314581504; " ""@exame já já vão falar que cagar é a maior vilã do aquecimento global."""
5 2 4 :1017455798727925766; " ""não sei pra que esse frio todo, oq aconteceu com o aquecimento global???"""
5 3 2 :1021909644392980481; " ""não tem aquecimento global. é só na china."""
2 1 4 :1015626889971617792; " ""@brina_gugli a tinta azul do cabelo das gordas da redação da ""vexame"" também contribuem para o ""aquecimento global""!"""
3 1 2 :1021216621652688897; " ""@beapaesd vai o aquecimento global é uma mentira"""
5 2 1 :1020417254096326656; " ""preciso de um aquecimento global urgente, muito frio aqui ?"""
5 1 2 :1023982449976651777; " ""o aquecimento global está dilatando a ignorância de muita gente. duvida basta ler algumas das respostas ao tw do incansável e paciente sérgio sacani. força aí, @spacetoday1 ."""
5 1 4 :1015971680760549376; " ""desculpa ai mas hoje vou contribuir com aquecimento global"""
1 5 4 :1016450325740433408; " ""@signosdazueira ""o efeito estufa é um fenômeno natural, característico de planetas onde existe atmosfera."" que"""
5 2 1 :1021431478780145665; " ""como sempre, a única explicação possível é o aquecimento global nao pode ser otura coisa"""
5 1 2 :1021393788055506944; " ""calhau com olhos que não distingue alterações climáticas de aquecimento global faz demonstração pública de ignorância e estupidez ?"""
5 1 4 :1023573972397563910; " ""ei seu @lulaoficial , vou fazer um churrasco aqui em casa, contribuir para o aquecimento global. ta convidado se quiser! ah não, esqueci que ainda. lulapreso lulalivresohem2030"""
5 2 4 :1021217019952353281; " ""nada me tira mais do sério que esses assuntos e discussões sobre aquecimento global e sustentabilidade puta que pariu ????????????????????????"""
5 1 4 :1023239955294953473; " ""escuta ! cadê aquela história de aquecimento global ? ? esqueceram de incluir o rs."""
5 2 4 :1015971358516408320; " ""@atalaiabrazuca foda-se o aquecimento global. quero meu churrasco."""
5 2 4 :1017239620009021440; " ""quando eu tava no 4° ano me prometeram que em 2020 não ia mais ter água por culpa do aquecimento global. kk"""
5 2 4 :1017350628996239360; " ""que desnecessário esse frio todo cade o aquecimento global que todo mundo fala"""
5 2 1 :1018356560530112512; " ""@fimdesemestre aquecimento global gera aquecimento no cu, hoje no globo repórter"""
5 2 1 :1021377722860306434; " ""aquecimento global pfvr chega aí que eu quero ir pra praia."""
5 4 2 :1017432388840951809; " ""eu tinha muito medo do espaço sideral, não podia passar uma reportagens envolvendo planetas que eu apavorava. tinha medo do aquecimento global também kkkkkk"""
5 2 4 :1016055595722510336; " ""@pauloap só fudendo o mundo com seu churrasco e aquecimento global né?? estamos de ???? kkkkkkkkkkkk"""
1 5 3 :1018216091825463296; " ""planeta tem semana mais quente da história https://t.co/5zmuna9ioo temperatura está 20oc acima do normal em regiões da sibéria e costa do ártico. população de países da europa e eua está derretendo com calor extremo mas tem gente que ainda não acredita em aquecimento global"""
5 2 1 :1015198307973558272; " ""apesar de melhorias no últimos anos, um problema do porto e do norte sempre foi a capacidade de antecipar o futuro económico. hoje são 6 de julho e teremos temperatura máxima de 22 graus. mais logo umas centenas de portuenses vão ouvir falar um sarcedote do aquecimento global."""
5 3 1 :1019336860999585792; " ""@aianafreitas a cura do câncer e o teletransporte serão inventados no governo dele. chuck norris será o ministro da segurança, o aquecimento global irá regredir quando sua candidatura for confirmada, os beija-flores e pintassilgos invadirão brasília e os motoboys de são paulo serão cordiais."""
5 3 2 :1022661211115016192; " ""@joaoverdade_ @_pinn @originalsant não existe aquecimento global, existe efeito estufa gargalhada o aquecimento global é um senso comum horrendo"""
5 4 1 :1015898308429123586; " ""@pauloap se depender da mídia, que são mais especializados do que cientistas, até peido ninja contribui para o aquecimento global."""
5 2 4 :1017043926879035397; " ""ué, cade o aquecimento global?"""
5 2 1 :1021760148870770689; " ""esse tipo de pesquisa que dá munição para lunáticos nível trump! ? aquecimento global pode provocar 40 mil suicídios até 2050"""
5 2 1 :1022840173686648832; " ""@desesquerdizada o casamento entrará em crise no primeiro peido do marido, com a mulher reclamando histérica devido a emissão de gás metano, causador do efeito estufa."""
5 1 2 :1023686837934739457; " ""@joselitomuller3 inadimissível! passando por cima de toda a geo política e os acordos pelo clima mundial, bolsonaro acaba de anunciar que uma de suas propostas é tirar o brasil do acordo de paris, que compromete o país a reduzir as emissões de gases que intensificam o efeito estufa."""
5 2 1 :1015308538246201345; " ""já tô queimando gasolina ! aquecimento global vai afogar essa tal de bélgica."""
5 4 1 :1015971759043043330; " ""uma matéria da exame diz que o churrasco de domingo é um dos responsáveis pelo tal aquecimento global. claro, quando o planeta inteiro acende as churrasqueiras no domingo, o planeta se aquece mesmo."""
5 2 3 :1021396438620819458; " ""segundo donald trump o aquecimento global nao existe"""
5 2 4 :1016323467627593728; " ""e também com a turma do ""agrotóxico é veneno"" e ""aquecimento global feito pelo homem""."""
5 2 4 :1016808650193735680; " ""@folha tira do ar daí reduz o aquecimento global kkkkkkkkk"""
5 3 1 :1038205680686129153; " ""@binerighetti cuidado com o aquecimento global, vai estragar seu polenguinho!"""
5 3 1 :1041876622918512640; " ""quanto de mudança climática a gente precisa pra matar todos os mosquitos"""
5 3 1 :1041084496152539136; " ""aí vem o primeiro de poseidon, que dá raiva po, atena passou 25 episódios prevenindo o aquecimento global pras geleiras não virarem água e inundarem tudo aí quando fica tudo safe poseidon vai lá e joga água em tudo"""
5 4 2 :1037062785585307648; " ""antes que leia merda vou só informar que quem culpar o aquecimento global por esta chuva é oficialmente retardado"""
5 3 2 :1038474841312112640; " ""gente só foi um copinho que caiu da minha mão pra suportar exatos 15 minutos de sermão do namorado sobre poluição e aquecimento global. a neurose é um prato que se come biodegradável."""
5 3 1 :1035745413901496320; " ""venus o planeta do amor foi destruido pelo aquecimento global"""
5 3 1 :1037318259614408705; " ""será que a era do nude está ligada ao aquecimento global?"""
5 4 2 :1041724898866028544; " ""cadê o aquecimento global - temporal com granizo deixa rodovia no interior de sp com 'cara' de estrada europeia"""
5 3 1 :1038785090267111425; " ""hoje é meu aniversário e ta chovendo pra caralho desde de manhã cedo (sendo que quase nunca chove aqui) acho que é só a energia negativa da minha presença no mundo afetando o aquecimento global"""
5 3 1 :1042921581293514753; " ""@arthurcaldeira8 aquecimento global acontecendo. resto da escola: foi o terceiro ano"""
5 1 4 :1046054300403859463; " ""@tatazinhaax1 @_anamonterot @christian_cfm01 @biataargino só queria contribuir pro aquecimento global, que absurdo"""
1 3 2 :1042772413719760896; " ""@sharkinho também cabem aí os senhores d'""o aquecimento global não existe"""""
5 3 1 :1035911172841725958; " ""aquecimento global: será possível resfriar o planeta usando geoengenharia"""
5 3 1 :1043230960530219008; " ""tem que fechar as academias porque só piorou o aquecimento global com tanta gordura queimada!!! ???? já pagaram o de hoje???"""
5 3 1 :1042561759809335298; " ""@brgenovez mais uma chuca jogada fora em tempos de aquecimento global"""
2 3 1 :1035724919886229504; " ""por algum motivo, eu cheguei a uma discussão sobre terraplanismo e aquecimento global e só consigo pensar: por que as pessoas discutem ferrenhamente esses assuntos?"""
5 4 2 :1038535549450108928; " ""deve a universidade do porto receber uma conferência de ‘cientistas’ que negam o aquecimento global"""
4 5 2 :1037707289946476545; " ""@srtalawyerbr17 de acordo com a chapa com o pv marina não pode usar carros, pois polui o ambiente! só teremos passeatas muleatas jegueatas marina ainda declara que viaja pelo brasil em um albatroz para minimizar o efeito estufa causado por esses aviões capitalistas"""
2 5 1 :1044668426160140290; " ""@ruiruibravo andam a subsidiar carros para ricos. está certo! entratanto cortaram no apoio aos bombeiros lá no estado da california e quando os incêndios atacam dizem que a culpa é do aquecimento global. democratas americanos e socialistas portugueses andam de mãos dadas, impressionante"""
5 3 1 :1041748768402681858; " ""meubolsominionsecreto não acredita em aquecimento global"""
5 1 4 :1046171170335322112; " ""em meu governo vamos instalar um ar condicionado no céu, assim resolveremos a questão do aquecimento global glória a deus"""
5 3 1 :1036387642181648386; " ""dizer que alguém que não apoia o lula é pró bolsonaro é a mesma coisa de acusar uma pessoa que gosta do verão de apoiar o aquecimento global"""
3 5 2 :1038795475372130304; " """"soros paga todos os cientistas do mundo pra propagar a farsa do aquecimento global"" e ""esse atentado contra o bolsonaro é fake"" entram num bar"""
